Acarology       Mites
Acridology      Grasshoppers
Anthropology    Humans
Apiology        Bees
Arachnology     Spiders
Caliology       Bird Nests
Carcinology     Crabs
Cardiology      Heart
Cetology        Whales/Dolphins
Concology       Shells
Cosmology       Outer space
Dendrology      Trees
Enology         Wine
Entomology      Insects
Etymology       Origin of words
Glaciology      Ice/Glaciers
Graminology     Grasses
Helminthology   Worms
Hippology       Horses
Hydrology       Water
Ichthyology     Fishes
Lepidopterology Butterflies/Moths
Limnology       Freshwater lakes
Malacology      Mollusks
Mycology        Fungi
Myrmecology     Ants
Oceanology      Oceans
Odontology      Teeth
Oology          Eggs
Ophiology       Snakes
Ophthalmology   Eye
Ornithology     Birds
Petrology       Rocks
Phycology       Algae
Pterylology     Bird Feathers
Seismology      Earthquakes
Thanatology     Death
Toxicology      Poisons
Vexillology     Flags

Bacteriology    Bacteria
Crayfish        Astacology
Cytology        Cells
Deontology      Ethics
Epistemology    Knowledge
Geology         Earth
Gerontology     Aging
Herpetology     Reptiles
Lichenology     Lichens
Mammalogy       Mammals
Neossology      Newborn birds
Orchidology     Orchids
Oncology        Tumors
