37°24′13″N 104°39′18″W
40°09′52″N 103°13′14″W
37°28′30″N 105°52′31″W
39°17′09″N 106°03′59″W
37°04′36″N 106°00′37″W
39°17′03″N 103°16′26″W
39°50′01″N 105°09′01″W
39°11′42″N 106°50′13″W
40°35′00″N 104°44′02″W
39°41′17″N 104°41′23″W
39°38′30″N 106°30′57″W
39°21′29″N 107°01′07″W
37°14′07″N 107°35′41″W
39°44′46″N 104°26′34″W
40°17′05″N 104°57′56″W
39°18′14″N 102°25′24″W
39°48′04″N 105°29′21″W
37°26′21″N 105°30′49″W
39°26′55″N 106°02′12″W
38°17′48″N 106°08′31″W
38°15′02″N 104°15′39″W
40°01′39″N 105°15′07″W
39°37′36″N 105°03′03″W
37°00′56″N 103°53′02″W
39°29′59″N 106°02′36″W
39°57′53″N 104°47′48″W
38°24′49″N 105°11′28″W
39°57′12″N 105°03′07″W
40°15′29″N 103°37′56″W
38°49′46″N 106°08′22″W
39°18′16″N 102°16′17″W
39°02′04″N 104°17′57″W
37°06′17″N 102°34′44″W
38°26′31″N 105°13′15″W
39°23′41″N 107°12′52″W
39°27′45″N 104°52′14″W
39°22′34″N 104°51′13″W
38°53′39″N 107°55′32″W
39°35′26″N 104°52′09″W
37°45′05″N 106°06′37″W
39°47′45″N 105°30′53″W
38°06′29″N 103°30′39″W
39°38′15″N 104°56′51″W
38°49′09″N 102°21′07″W
38°21′43″N 105°08′30″W
37°08′39″N 104°37′18″W
39°14′24″N 107°57′50″W
38°52′02″N 104°45′39″W
39°35′58″N 105°01′51″W
39°52′59″N 104°47′44″W
37°20′59″N 108°34′36″W
40°31′01″N 107°33′20″W
38°42′19″N 107°36′36″W
37°50′57″N 106°55′31″W
38°52′04″N 106°58′38″W
37°59′40″N 105°41′47″W
38°44′46″N 105°11′03″W
40°51′32″N 102°48′05″W
38°11′37″N 103°51′35″W
40°03′49″N 104°56′48″W
39°16′33″N 108°11′36″W
39°36′57″N 104°02′35″W
37°40′42″N 106°21′14″W
38°45′27″N 108°05′17″W
39°45′43″N 104°52′52″W
39°37′33″N 106°02′37″W
40°14′26″N 109°00′31″W
37°28′26″N 108°29′59″W
37°46′00″N 108°54′23″W
37°16′24″N 107°52′18″W
38°28′53″N 102°46′47″W
39°38′04″N 106°48′59″W
40°31′31″N 104°42′48″W
40°06′45″N 102°29′19″W
39°45′03″N 105°03′45″W
39°21′40″N 104°36′22″W
39°45′35″N 105°40′58″W
39°38′47″N 104°59′38″W
40°02′25″N 105°02′22″W
40°22′38″N 105°31′32″W
40°21′01″N 104°44′54″W
39°13′26″N 105°59′38″W
39°51′53″N 105°00′59″W
40°08′57″N 104°57′43″W
39°17′44″N 103°04′36″W
40°40′54″N 102°50′22″W
38°22′47″N 105°05′53″W
40°32′54″N 105°03′53″W
40°04′53″N 104°47′55″W
40°15′22″N 103°47′29″W
38°41′58″N 104°41′59″W
38°07′47″N 104°01′32″W
39°35′18″N 104°47′09″W
39°55′24″N 105°48′19″W
40°06′34″N 104°57′55″W
39°34′43″N 106°05′28″W
39°09′14″N 108°43′42″W
40°23′41″N 104°41′22″W
39°16′42″N 103°29′56″W
39°43′17″N 105°41′39″W
40°17′03″N 104°46′55″W
39°42′11″N 104°56′10″W
39°33′02″N 107°19′28″W
39°44′33″N 105°12′38″W
38°03′47″N 102°18′42″W
40°02′13″N 105°54′01″W
39°05′21″N 108°34′03″W
40°14′48″N 105°49′32″W
40°24′51″N 104°46′16″W
38°56′06″N 105°01′11″W
39°36′57″N 104°54′42″W
40°52′09″N 104°13′33″W
38°32′44″N 106°55′21″W
39°38′24″N 106°54′41″W
38°07′16″N 102°13′18″W
38°27′09″N 103°09′54″W
40°38′29″N 102°37′46″W
40°29′07″N 107°14′32″W
40°19′29″N 103°31′20″W
38°03′20″N 102°07′29″W
40°34′56″N 102°17′54″W
37°44′46″N 105°52′40″W
40°04′29″N 106°06′09″W
38°47′57″N 107°42′49″W
40°04′42″N 104°38′28″W
39°08′09″N 103°28′24″W
39°44′56″N 105°30′17″W
37°07′04″N 107°38′15″W
40°45′30″N 103°03′58″W
40°07′01″N 105°23′21″W
40°23′23″N 104°58′10″W
40°59′06″N 102°15′45″W
40°06′47″N 104°29′21″W
40°23′15″N 104°33′57″W
37°14′49″N 103°21′12″W
39°20′37″N 104°27′26″W
38°45′46″N 102°47′43″W
40°03′24″N 106°22′41″W
37°16′25″N 105°57′35″W
37°58′46″N 103°32′50″W
37°30′31″N 105°00′31″W
39°59′43″N 105°05′59″W
38°01′50″N 107°18′37″W
39°46′45″N 105°03′28″W
39°41′56″N 105°07′03″W
38°04′29″N 102°37′00″W
39°13′47″N 104°53′09″W
38°04′11″N 103°13′24″W
40°20′55″N 104°42′21″W
39°14′48″N 106°17′37″W
39°15′53″N 103°41′02″W
39°35′25″N 105°01′12″W
40°00′38″N 104°43′28″W
40°16′13″N 103°49′46″W
39°31′51″N 104°52′16″W
40°10′11″N 105°05′56″W
39°58′10″N 105°08′36″W
40°25′01″N 105°03′47″W
40°13′23″N 105°16′07″W
37°10′26″N 105°56′14″W
37°20′48″N 108°17′38″W
38°51′27″N 104°54′45″W
38°06′32″N 103°52′00″W
39°04′19″N 107°11′26″W
40°13′37″N 104°59′18″W
40°02′59″N 107°53′43″W
40°29′05″N 103°21′13″W
40°18′38″N 104°51′30″W
39°32′08″N 106°22′54″W
38°00′07″N 105°54′20″W
37°34′43″N 106°09′02″W
39°34′54″N 105°52′05″W
38°28′09″N 107°51′38″W
39°04′29″N 104°50′38″W
39°37′32″N 105°12′29″W
38°54′30″N 106°57′31″W
39°46′29″N 105°03′24″W
37°55′57″N 107°51′28″W
38°13′07″N 108°34′06″W
39°57′50″N 105°30′21″W
39°34′42″N 107°31′34″W
39°54′40″N 104°58′44″W
38°07′44″N 108°17′30″W
38°16′00″N 108°32′55″W
40°42′43″N 104°47′23″W
40°16′26″N 106°57′25″W
38°36′30″N 107°58′58″W
38°09′59″N 103°56′40″W
37°51′25″N 107°49′44″W
38°48′51″N 107°58′03″W
38°13′15″N 103°45′24″W
40°09′00″N 102°57′44″W
38°01′39″N 107°40′25″W
40°57′38″N 102°23′18″W
37°15′49″N 107°00′13″W
39°06′27″N 108°21′33″W
39°06′48″N 104°53′59″W
40°36′46″N 102°28′19″W
38°52′11″N 107°35′29″W
39°27′00″N 108°03′20″W
39°30′15″N 104°46′23″W
40°57′43″N 103°06′51″W
40°38′01″N 104°45′19″W
38°36′31″N 106°30′59″W
40°13′00″N 104°49′27″W
38°31′08″N 106°04′21″W
37°22′12″N 102°51′31″W
38°16′12″N 104°36′44″W
39°07′20″N 104°10′02″W
40°05′43″N 108°45′24″W
40°36′28″N 103°50′40″W
39°30′33″N 106°22′12″W
37°41′19″N 108°01′53″W
38°09′33″N 107°45′11″W
39°32′15″N 107°46′13″W
38°21′53″N 105°09′53″W
38°03′01″N 103°43′22″W
37°10′19″N 105°59′07″W
37°55′17″N 104°55′56″W
38°05′10″N 106°08′27″W
38°31′49″N 105°59′56″W
37°12′08″N 105°25′21″W
37°15′27″N 105°54′03″W
37°59′41″N 108°00′04″W
40°56′06″N 102°31′32″W
39°17′53″N 102°52′10″W
40°32′22″N 104°52′12″W
39°38′52″N 105°01′03″W
38°28′00″N 102°17′39″W
39°32′52″N 107°39′15″W
38°07′45″N 105°23′57″W
39°41′44″N 105°43′36″W
39°39′14″N 106°05′33″W
37°48′40″N 107°39′53″W
39°08′28″N 104°04′54″W
39°13′01″N 106°56′38″W
37°40′09″N 106°38′34″W
37°24′18″N 102°37′08″W
37°07′01″N 104°31′24″W
40°28′32″N 106°49′23″W
40°37′15″N 103°11′31″W
39°18′10″N 102°36′13″W
38°13′58″N 103°39′48″W
39°55′52″N 105°09′33″W
38°00′51″N 103°37′41″W
37°56′23″N 107°49′04″W
39°55′10″N 104°56′34″W
40°31′59″N 104°57′40″W
37°10′23″N 104°29′25″W
37°33′38″N 102°23′48″W
39°38′15″N 106°21′52″W
38°42′32″N 105°08′31″W
